gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDB_G0279967	86.19563	0.4956094	0.34831162	0.01426073	0.1676376
DDB_G0279969	148.4309	0.236936	0.27484128	0.1224051	0.4107566
DDB_G0279971	211.5177	0.3354564	0.3454817	0.05941527	0.3138567
DDB_G0279973	3731.27	-0.1864424	0.31373485	0.2192143	0.5125658
DDB_G0279975	29.78766	-0.006416134	0.26094455	0.961325	0.9851333
DDB_G0279977	213.6741	0.002037659	0.14677818	0.981761	0.992077
DDB_G0279979	1493.089	-0.2413714	0.28369626	0.1223088	0.4107566
DDB_G0279981	193.2519	0.006846883	0.17191148	0.9469289	0.9808725
DDB_G0279983	2804.306	-0.2682786	0.4355492	0.06169514	0.3178369
DDB_G0279985	1998.971	0.0923772	0.27942531	0.5038681	0.7392302
DDB_G0279987	175.5748	-0.5668198	0.49317843	0.00697207	0.1202758
DDB_G0279989	86.69305	0.4803594	0.59628649	0.008111894	0.1289757
DDB_G0279991	404.2807	0.3085752	0.26603625	0.05381659	0.3018857
DDB_G0279995	279.0633	0.4997805	0.30910296	0.01120249	0.1509918
DDB_G0279997	37801.17	0.04875694	0.16415847	0.6167815	0.8123305
DDB_G0279999	358.663	0.2203426	0.24432431	0.1187899	0.4074818
DDB_G0280001	409.7709	0.1707123	0.24206937	0.2096076	0.5041036
DDB_G0280003	108.6563	0.8174383	0.36891858	0.0006070058	0.03591238
DDB_G0280005	70.9596	0.08938533	0.27789586	0.5166701	0.749309
DDB_G0280007	7419.523	-0.1200492	0.30406532	0.3949028	0.6665226
DDB_G0280011	5.808258	0.02040623	0.35166502	0.8487927	NA
DDB_G0280013	23.82156	0.08051378	0.28480986	0.5569743	0.7757859
DDB_G0280015	397.5736	0.3105774	0.32049976	0.07161699	0.3388243
DDB_G0280017	1321.552	-0.2381849	0.26643231	0.1147964	0.4019463
DDB_G0280019	4094.001	-0.1539024	0.39400734	0.1889776	0.4830143
DDB_G0280021	155.0944	0.2717191	0.26620991	0.07978919	0.3519182
DDB_G0280025	18.01386	0.1725606	0.35828839	0.2158805	0.5094925
DDB_G0280029	32.63878	0.1186655	0.33248677	0.3785541	0.6529047
DDB_G0280031	80.3802	0.101014	0.30985825	0.4618461	0.7123333
DDB_G0280037	7004.16	-0.03522908	0.17872211	0.7392479	0.8785884
DDB_G0280039	2116.33	-0.2072609	0.24415272	0.1384067	0.4324152
DDB_G0280041	1050.109	-0.02296249	0.24981588	0.8609081	0.9404731
DDB_G0280043	4143.266	0.01442719	0.19206677	0.8979648	0.9593756
DDB_G0280045	1251.651	-0.8026451	0.36782697	0.0007105169	0.03915157
DDB_G0280047	7621.96	-0.1943634	0.35688258	0.1831035	0.4769874
DDB_G0280049	243.0769	-0.1449117	0.31587391	0.3142751	0.6025527
DDB_G0280051	18940.05	-0.1929063	0.38391293	0.1552058	0.4502369
DDB_G0280053	8244.827	-0.145922	0.36037227	0.2644535	0.5586772
DDB_G0280055	1009.052	0.03982372	0.15491914	0.6670583	0.8393108
DDB_G0280057	4208.477	-0.08170337	0.18508953	0.4475881	0.7045295
DDB_G0280059	4838.983	-0.1959271	0.37001909	0.1677842	0.4609144
DDB_G0280061	777.1945	-0.05650244	0.19034336	0.611021	0.8086281
DDB_G0280063	26.49877	0.1017705	0.37140357	0.3590883	0.6374782
DDB_G0280065	521.9603	-0.004815611	0.22979041	0.9695976	0.9883249
DDB_G0280067	1972.43	0.2263789	0.24168952	0.1080551	0.3929625
DDB_G0280069	1704.061	0.09821118	0.17456979	0.3303808	0.6154807
DDB_G0280071	623.0429	-0.01388741	0.1085618	0.8315774	0.9261629
DDB_G0280073	141.1308	0.1471879	0.28721035	0.3102919	0.6003538
DDB_G0280075	9.635806	0.08910052	0.35550189	0.4463853	0.7037612
DDB_G0280077	145.8967	0.4288288	0.33762554	0.02547647	0.2207528
DDB_G0280079	685.4744	0.03485412	0.21435766	0.7742969	0.8948444
DDB_G0280081	913.0443	0.2231299	0.33063277	0.1571238	0.4522111
DDB_G0280083	137.6321	-0.0453059	0.21541596	0.7103355	0.8643327
DDB_G0280085	12616.4	-0.1627095	0.40495609	0.1584317	0.4527023
DDB_G0280087	1767.418	0.0821852	0.20142631	0.478448	0.7220075
DDB_G0280089	1055.887	-0.2620388	0.26429189	0.08728021	0.3641859
DDB_G0280091	925.094	-0.1085061	0.21482239	0.3742584	0.6503383
DDB_G0280093	3090.809	-0.009620277	0.18229254	0.9290227	0.9733121
DDB_G0280097	456.2421	-0.619469	0.52101781	0.004583706	0.09777123
DDB_G0280103	414.414	-0.1813291	0.31413118	0.2292882	0.5223643
DDB_G0280105	1270.922	-0.1185659	0.27552524	0.3990299	0.6692543
DDB_G0280107	1.738902	-0.03936022	0.38338798	0.6340772	NA
DDB_G0280109	38.03071	0.3417862	0.32699987	0.05468738	0.3028609
DDB_G0280111	2257.558	-0.1572147	0.22898206	0.2260146	0.5192378
DDB_G0280113	134.5046	0.03495161	0.187082	0.7506246	0.8830493
DDB_G0280115	122.3871	0.483745	0.41292538	0.01604395	0.1775099
DDB_G0280117	1343.976	0.5216554	0.25467478	0.004969945	0.1016688
DDB_G0280119	876.4375	0.1128482	0.24725024	0.401033	0.6703516
DDB_G0280121	138.9535	0.3957446	0.35467205	0.03538741	0.2532081
