gene_id	WT1_vegetativ	WT2_vegetativ	WT3_vegetativ	D1_vegetativ	D2_vegetativ	D3_vegetativ
DDB_G0289621	11.36947408	11.46582789	11.28823578	10.75727326	10.94130007	11.01831931
DDB_G0289623	10.67899646	10.46768148	10.52496462	10.4246604	10.56617175	10.61322606
DDB_G0289625	7.94049389	8.3090824	8.54362652	8.20561573	7.87067265	8.34953902
DDB_G0289627	9.03405311	8.88047123	8.84001193	8.63105139	9.01458619	8.63855674
DDB_G0289629	10.83602482	10.97865585	10.84176707	8.99858429	9.53224692	9.56850977
DDB_G0289631	5.62061751	5.20249694	5.920382	5.71674061	5.85538562	5.89825162
DDB_G0289633	6.07902811	6.16872043	6.22487481	6.17396191	6.11826808	5.7998206
DDB_G0289635	6.92692479	6.72866449	6.90930028	6.89465509	6.72169307	6.55720738
DDB_G0289637	7.07953675	6.82123944	6.90930028	6.95643268	6.59540695	6.79303678
DDB_G0289641	6.35812003	6.07934623	6.35105759	7.00560567	5.90671814	6.58832876
DDB_G0289643	5.79177542	5.62077281	5.67520921	5.67234499	6.22227299	5.85102995
DDB_G0289645	9.38719537	9.42799105	9.21727666	9.07683316	9.01816601	9.16540275
DDB_G0289647	5.71370344	5.97837883	5.71270866	5.95490074	5.95430202	6.05974117
DDB_G0289651	8.95889101	9.26524304	10.43007008	10.08558015	9.50705579	8.42072476
DDB_G0289653	10.6844704	10.63263902	10.75503882	10.70644605	11.13094049	10.28715683
DDB_G0289655	6.07902811	6.03056788	6.43575251	6.06000893	6.15438443	5.68022156
DDB_G0289657	5.92176773	5.92203132	6.03582924	5.67234499	5.66611114	5.89825162
DDB_G0289659	9.31117722	9.29068475	9.46746449	9.51600524	9.13153369	8.93483172
DDB_G0289661	9.24211496	9.30858471	9.39359726	9.13891942	8.95605366	8.91221916
DDB_G0289663	15.89156501	15.73077612	16.1101554	15.46844622	15.79083743	15.28976911
DDB_G0289665	8.52735544	8.53437648	8.75762605	8.73153751	8.7167082	8.51887718
DDB_G0289667	10.03448507	10.17247342	10.35510776	9.79396076	9.64043793	9.52575317
DDB_G0289669	7.07953675	7.11553718	7.18412855	7.39246498	7.12249016	7.38722816
DDB_G0289671	9.33231244	9.18608821	9.16958318	8.55682926	8.97091334	8.96556121
DDB_G0289673	7.79246471	8.03183452	8.08791848	7.47510697	8.59211546	8.05456862
DDB_G0289675	11.65237344	11.45785559	11.54188851	12.91696825	11.44994494	12.36681747
DDB_G0289677	5.71370344	5.79199281	5.39619983	5.50044017	5.58157579	5.60677107
DDB_G0289679	10.64851244	10.53291298	10.25261397	9.79267731	10.01364289	10.5943284
DDB_G0289681	6.20968831	6.03056788	6.07735566	7.06211948	5.66611114	6.6085857
DDB_G0289683	6.12492577	5.79199281	6.07735566	6.87333171	6.37238333	6.17735285
DDB_G0289685	5.20249694	5.20249694	5.58903657	6.0351031	5.66611114	5.87508491
DDB_G0289687	6.94708058	7.11553718	7.61745396	8.12510149	7.12249016	7.51760836
DDB_G0289689	8.23447417	8.35850409	8.862997	8.76087568	8.54802622	8.81987311
DDB_G0289691	6.90642483	7.33889858	7.92826186	8.2327344	7.2700761	6.95199668
DDB_G0289693	5.92176773	5.49877869	5.67520921	5.92599803	5.85538562	5.82598355
DDB_G0289695	7.02451113	7.18344493	6.96100297	7.02473341	6.81708108	7.66659163
DDB_G0289697	9.81975819	9.70947303	9.78651464	9.39761251	9.72148183	9.53939332
DDB_G0289699	10.98095528	11.06202073	10.73884681	10.24973809	10.56007259	10.92289135
DDB_G0289701	11.57935475	11.56638825	11.57244697	11.68833123	11.69829867	11.13160303
DDB_G0289703	8.24202664	8.02304217	8.02924566	7.88599529	8.16110368	7.96133279
DDB_G0289705	11.5285375	11.77133377	12.01882486	11.42235186	11.23334218	10.59866976
DDB_G0289707	8.350689	8.28004058	7.97967558	8.24038706	8.5824358	8.80104221
DDB_G0289709	8.31539448	8.28735757	8.36984606	8.36796277	8.49220416	7.96477311
DDB_G0289711	8.34370063	8.57661132	8.55911439	8.55071998	8.39581378	8.65545779
DDB_G0289713	8.99475475	9.01765636	8.81878955	8.81271508	9.08111464	8.99233165
DDB_G0289715	7.94981821	7.88397059	7.88320807	8.364474	8.13464668	8.24396744
DDB_G0289717	6.28690659	6.16872043	6.29013114	6.21549909	6.3442319	6.17735285
DDB_G0289719	10.12387944	10.10049448	10.24155528	10.30744687	11.0082202	10.08916965
DDB_G0289721	8.54568724	8.39952602	8.46901853	8.27431598	8.09399495	8.5844038
DDB_G0289723	11.1556318	10.83829031	10.87484386	11.11403729	10.50652596	10.62071628
DDB_G0289725	5.79177542	5.62077281	5.47622922	5.50044017	5.47093056	5.68022156
DDB_G0289727	7.70643283	7.89369143	7.93629742	7.83583562	7.83796403	7.73735902
DDB_G0289729	5.4986683	5.20249694	5.20249694	5.50044017	5.58157579	5.5160544
DDB_G0289731	5.62061751	5.49877869	5.47622922	5.56707929	5.58157579	5.60677107
DDB_G0289733	9.0680999	8.71254714	8.74417028	8.52912735	8.52292541	8.38048889
DDB_G0289735	7.50310565	7.16680744	7.70562321	7.76237312	7.331924	7.26576807
DDB_G0289737	7.69528544	7.60336722	7.62250643	8.20169836	8.19987213	7.74140906
DDB_G0289739	5.20249694	5.20249694	5.20249694	5.56707929	5.20249694	5.45868301
DDB_G0289741	7.78200329	7.79323642	8.38153976	8.13747879	7.5638419	6.95199668
DDB_G0289743	7.39551187	7.19986707	7.13381303	7.67325531	7.40245515	7.5318587
DDB_G0289747	8.71164231	8.66308495	8.63167358	8.73422977	8.70339252	8.74891765
DDB_G0289749	10.61307027	10.6169675	10.63285134	10.29934299	10.68639188	10.54681352
DDB_G0289751	7.11491104	6.88613344	6.92678272	7.18478763	7.04923027	7.14442018
DDB_G0289753	6.5162447	6.7042974	6.44918847	6.94635434	6.88812493	6.63827882
DDB_G0289755	9.49728305	9.48887591	9.51292407	9.15101966	9.48915519	9.04441228
