gene_id	WT1_aggregat	WT2_aggregat	WT3_aggregat	D1_aggregat	D2_aggregat	D3_aggregat
DDB_G0276825	5.98262777	5.93247605	5.98073777	5.82414251	5.7535101	6.21471874
DDB_G0276827	5.86080485	5.56494386	5.72256525	5.82414251	5.7535101	6.25876295
DDB_G0276829	5.98262777	6.78685177	5.56494386	5.56494386	5.56494386	6.99207713
DDB_G0276831	6.03152526	6.12436656	6.12992143	6.01269398	6.23916104	6.25876295
DDB_G0276833	10.63359213	10.65371115	10.43973682	10.43531109	10.39606223	10.38530247
DDB_G0276835	9.05525416	8.88875236	8.96328334	8.03524533	8.46753135	7.56103776
DDB_G0276837	9.18561823	9.42320333	9.29043169	9.40880351	9.03701987	9.21226605
DDB_G0276839	10.52715507	10.56128829	10.54244994	10.38985009	10.47790158	9.71872387
DDB_G0276841	9.9150074	9.85366694	10.01203061	10.83833988	10.66528246	10.99718577
DDB_G0276843	9.65307112	9.42971051	9.53772618	9.67897192	10.0927531	9.86875237
DDB_G0276845	9.49162869	9.46603519	9.48838078	9.89459806	9.60767999	9.44493107
DDB_G0276847	8.90260549	8.8696312	8.95998006	8.42639571	8.54594296	8.78059069
DDB_G0276849	5.92698267	5.77752058	5.72256525	5.82414251	5.7535101	5.91435159
DDB_G0276851	6.22197622	6.35128313	6.06118445	6.41348144	6.23916104	6.05788816
DDB_G0276853	6.55072696	6.45353412	6.55516327	6.64099384	6.69876639	7.12994922
DDB_G0276855	9.95775925	9.95015223	9.90861005	9.93590177	9.96620866	10.07544641
DDB_G0276857	7.607839	7.68128191	7.59533947	7.24734734	7.61958358	7.74114761
DDB_G0276859	6.22197622	6.29420856	6.12992143	6.1956676	6.12747503	6.50733268
DDB_G0276861	8.65383325	8.65519825	8.72094009	9.37574612	8.97982221	9.22586138
DDB_G0276863	11.42626588	11.75178488	11.61283666	11.57650493	11.45893127	11.5494233
DDB_G0276865	8.85309156	9.02159852	8.92142804	9.97164461	8.93475434	8.89612574
DDB_G0276869	11.12951911	11.08101491	11.08313767	6.58194489	7.56811163	7.01027393
DDB_G0276871	16.00752767	16.08171332	15.95476494	16.22348151	15.91663704	16.04638647
DDB_G0276873	10.23914759	10.32203491	10.44911757	10.98085657	10.62586311	10.88451603
DDB_G0276875	9.30045005	9.25496857	9.5704209	8.85700788	9.41832128	9.00688298
DDB_G0276877	10.7826786	10.77913724	10.8023312	10.93188363	10.83619215	10.72706458
DDB_G0276879	5.86080485	5.77752058	5.72256525	5.56494386	5.7535101	5.81231358
DDB_G0276881	10.80380843	10.74055887	10.75207858	10.60828674	10.46802577	10.43709699
DDB_G0276883	12.34284043	12.31053465	12.32091877	11.95897348	11.9984555	12.00421889
DDB_G0276885	11.04469713	11.22144433	11.22971529	11.61719016	11.29928814	11.0692477
DDB_G0276887	10.69839272	10.74749319	10.73205247	10.43850401	10.57923183	11.26604985
DDB_G0276889	5.56494386	5.56494386	5.8376816	5.82414251	5.56494386	5.56494386
DDB_G0276891	5.92698267	5.93247605	6.06118445	6.08127852	5.94127695	5.99236099
DDB_G0276893	13.10738503	13.0599316	13.08939568	12.19509409	12.62213364	12.44605691
DDB_G0276895	6.39186601	6.42923065	6.35899739	6.8224893	6.4923934	6.41074295
DDB_G0276897	11.80827801	11.84721533	11.90867424	11.99408171	11.84364052	11.59894162
DDB_G0276899	11.61778105	11.71778293	11.55839696	11.93093789	11.87384581	11.85515504
DDB_G0276901	5.56494386	5.56494386	5.78774359	6.14146574	5.56494386	5.91435159
DDB_G0276903	6.03152526	6.03858008	5.95008323	6.01269398	5.98540139	5.91435159
DDB_G0276905	7.35681886	7.47436818	7.33167116	8.51518745	7.98571771	9.07618941
DDB_G0276907	8.53263894	8.51792527	8.6003539	7.41269306	8.22180646	7.73121813
DDB_G0276911	5.86080485	6.03858008	6.03594869	5.93101645	5.7535101	5.91435159
DDB_G0276913	6.33974588	6.23182562	6.17124104	6.24531916	6.28818066	6.50733268
DDB_G0276915	5.77433213	5.56494386	5.78774359	5.93101645	5.56494386	5.81231358
DDB_G0276917	12.47250502	12.42544647	12.4855008	12.76389519	12.41971078	12.32926424
DDB_G0276919	10.85842605	10.68294466	10.6995183	10.07588142	10.34570667	10.39880013
DDB_G0276921	11.00104133	11.2239316	11.48966697	11.89016704	11.44012647	10.55696834
DDB_G0276925	7.66915572	7.88606438	7.92992489	9.12402939	8.57424792	8.75252951
DDB_G0276927	12.51251993	12.43137555	12.5016331	12.4907396	12.17308097	11.93957752
DDB_G0276929	7.98676454	7.91197611	7.88033363	7.85865319	7.72257557	8.03293095
DDB_G0276931	9.38088664	9.29119385	9.31383078	9.16338287	9.26829557	9.03036313
DDB_G0276933	9.33451783	9.12709916	9.31383078	9.53687095	9.20596074	9.2789817
DDB_G0276935	7.92657192	7.96233948	7.88033363	8.35930921	7.96162312	8.15443454
DDB_G0276937	5.92698267	5.56494386	5.95008323	5.82414251	5.56494386	6.11541198
DDB_G0276939	12.04804129	11.99174628	12.06598645	7.16390043	8.97280084	8.38771125
DDB_G0276941	12.43369485	12.3726404	12.37645983	7.14647022	9.02802179	7.22341547
DDB_G0276943	11.72428988	11.75694552	11.82993171	11.93658878	11.69894332	11.34325217
DDB_G0276945	8.62820352	8.63639253	8.67313072	8.59866437	8.53957436	8.19734277
DDB_G0276947	10.30907315	10.54246879	10.55553522	11.43034481	10.5207271	10.51076311
DDB_G0276949	10.27453522	10.22841701	10.52037333	10.06351666	10.28041328	10.1903488
DDB_G0276951	10.45498827	10.51224368	10.81053882	10.76142109	10.62364118	10.29032103
DDB_G0276953	10.06545954	10.19453702	10.27804949	10.61676551	10.30744136	10.16247263
DDB_G0276955	6.3121861	6.19815622	6.15096532	6.01269398	5.98540139	6.33884199
DDB_G0276957	5.77433213	5.56494386	5.72256525	5.56494386	5.56494386	5.91435159
DDB_G0276959	8.79523177	8.81066425	8.83018878	8.15200734	8.70210847	9.2724489
DDB_G0276961	8.23853038	8.13602706	8.20856186	7.91697513	7.80714931	7.95946452
DDB_G0276963	10.10663852	10.22965663	10.17365181	9.52486942	9.61816324	9.35203424
DDB_G0276965	10.85219866	10.98455701	11.03180806	10.88353107	10.90243561	10.55696834
DDB_G0276967	9.47951396	8.95371183	8.74809636	7.29472958	10.01907435	10.30154447
DDB_G0276969	13.84713245	13.62142186	13.73227122	12.65432147	13.49954599	10.53133078
DDB_G0276973	9.88170401	9.62369661	9.71286531	9.09581933	9.08551511	8.978989
DDB_G0276975	8.61334484	8.74562608	8.16542381	10.16151324	9.49026072	10.7564727
DDB_G0276977	9.98224146	9.88077434	9.92300595	10.43050838	10.11297755	9.71151686
DDB_G0276979	7.66915572	8.01682784	7.60428539	8.25215194	7.10328111	7.70096817
DDB_G0276981	6.41661119	6.12436656	6.24599977	6.37502088	6.12747503	5.56494386
DDB_G0276983	5.56494386	5.86530204	5.91669939	5.93101645	5.56494386	5.56494386
DDB_G0276985	7.12467587	7.48332624	7.42247187	7.97285712	7.76272259	7.32385492
DDB_G0276989	11.05896007	10.85010912	10.99827437	9.02059765	10.18713492	9.67739655
